"","code","Sample","type","character","Citric.acid","Malic.acid","Ascorbic.acid","Sucrose","glucose.fructose","X3.4.di.HBA","X3.HBA","Caffeic.acid","X4.HBA","p.Coumaric.acid","Ferulic.acid","TPP.test","Antioxidant.test","FRAP.test"
"61",61,"fake sample","ADLJ","",5.31,9.44,0.04,9.59,26.22,85,3.38,0,25.39,0,0,1.19,2.21,0.58
"62",62,"fake sample","ADLJ","",0.05,2.21,0.02,11.95,26.05,21.6,7.23,0,24.49,0,0,0.27,4.59,0.09
"63",67," commercial sample1","LMND","",0.46,0.36,0,2.06,129.11,0,2.74,8.748,27.66,0.548,0,0.1,1.54,0.09
"64",68," commercial sample2","LMND","",0.14,0.23,0,0.56,0,0,4.96,0,35.17,0.548,0,0.22,1.54,0.1
"65",69," commercial sample3","LMND","",0.07,0.09,0,1.04,0,21.74,4.13,94.64,0,0,0,0.01,1.62,0.02
"66",70," commercial sample4","LMND","",0.28,0.46,0,61.2,0,27.06,0.002,0,0,0,12.2,0.12,1.49,0.15
"67",71," commercial sample5","LMND","",0.4,0.18,0,73.05,15.63,85.87,46.73,53.29,32.86,34.01,27.05,0.21,1.29,0.12
"68",72," commercial sample6","LMND","",0.5,0.3,0,67.77,48.32,0,32.43,0,0,4.61,0,0.18,1.31,0.14
"69",73," commercial sample7","LMND","",0.19,0.21,0.01,3.66,0,30.51,0.002,0,31.23,0,0,0.03,1.58,0.03
"70",74," commercial sample8","LMND","",0.36,0,0,54.02,0,23.71,10.77,0,29.56,0,0,0.14,1.51,0.11
"71",75," commercial sample9","LMND","",0.14,0.04,0,50.58,28.95,21.88,11.74,0,26.4,10.55,0,0.12,1.5,0.09
"72",76," commercial sample10","LMND","",17.11,0.29,0,54.99,0,117.58,19.83,58.11,29.99,0,3.61,0.14,1.48,0.08
"73",77," commercial sample11","LMND","",0.11,0,0,2.01,36.93,146.07,42.22,0,41.59,90.54,0,0.33,1.03,0.13
"74",78," commercial sample12","LMND","",0,0.21,0.03,9.28,46.39,66.93,0.002,0,39.11,0,0,0.32,0.96,0.25
"75",79," commercial sample13","LMND","",0.01,0.07,0,11.97,50.16,24.63,11.54,0,30.41,0,21.02,0.1,1.54,0.06
"76",80," commercial sample14","LMND","",0.06,0.46,0,14.95,40.13,208.41,25.51,0,0,18.94,6.1,0.17,1.42,0.08
"77",81," commercial sample15","LMND","",0.21,0.05,0,16.08,69.35,81.05,11.18,0,35.21,19.61,0,0.04,1.58,0.05
"78",82," commercial sample16","LMND","",0.83,0.97,0,12.21,23.3,50.78,21.15,0,32.48,0,0,0.1,1.64,0.06
"79",83," commercial sample17","LMND","",0.04,0.27,0,4.79,4.56,54.62,1049.02,0,36.41,11.3,0.05,0.19,1.53,0.06
"80",84," commercial sample18","LMND","",0.52,1.24,0,43.72,24.38,27.36,18.75,0,27.3,0,3.03,0.1,1.5,0.11
"81",85," commercial sample19","LMND","",0.14,0,0,14.33,54.09,141.63,49.29,64.8,36.61,158.72,0,0.3,0.82,0.28
"82",86," commercial sample20","LMND","",0.27,0.28,0.01,16.65,51.73,250.89,46.76,8.748,30.85,35.39,7.4,0.54,0.71,0.24
"83",87," commercial sample21","LMND","",0.08,0.14,0,4.54,51.58,31.58,12.44,44.24,36.22,21.86,3.21,0.07,1.54,0.06
"84",88," commercial sample22","LMND","",0.19,0.28,0,2.74,30.54,120.35,34.17,0,0,72.42,10.72,0.29,0.77,0.12
"85",89," commercial sample23","LMND","",0.17,0.08,0,6.9,63.35,217.86,18.27,0,0,31.29,3.78,0.22,1.3,0.11
"86",90," commercial sample27","LMND","",0,0,0.02,1.26,0,69.63,0.002,0,31.53,0,0,0.07,1.36,0.08
